X1;X2;X3
44,1;12,05;3,29
34,34;22,43;3,65
21,83;1,16;3,01
15,16;7,76;3,47
32,34;20,88;3,77
23,87;1,14;2,98
20,69;-13,03;1,87
5,77;2;2,5
26,94;-9,8;1,9
43,65;7,29;3,04
29,02;5,35;2,56
27,9;-4,86;2,64
20,14;2,5;3,19
39,45;29,04;4,22
32,51;11,93;3,44
47,32;11,04;3,18
20,53;19,03;3,63
42,88;20,08;3,99
22,57;16,08;3,95
4,45;4,49;3,39
13,67;17,31;3,27
25,95;14,64;3,22
29,17;7,17;3,05
22,98;17,16;3,44
19,25;19,57;3,57
10,48;1,89;3,08
28,46;14,8;3,57
9,25;-1,08;3,24
26,13;-3,13;2,57
23,14;0,59;2,43
41,01;16,51;3,41
27,61;17,19;3,54
24,57;-3,16;2,29
13,93;-4,85;2,77
33,72;0,39;2,32
37,36;16,18;3,67
12,69;6,17;3,29
46,19;26,2;4,06
19,78;15,67;3,27
30,65;12,81;3,67
32,77;13,6;3,43
35,33;19,5;4,11
24,94;3,55;2,92
17,52;-8,03;2,2
38,79;20,61;3,71
32,09;13,17;3,54
35,95;10,01;3,17
17,97;10,86;3,14
